"# C05 depth-averaged current, WAMOS absolute rotation exp(-i*14.4deg) applied"
"# along principal axis 113.4/293.4 deg true; +=toward 113, -=toward 293"
start_utc,end_utc,duration_h,peak_along_cm_s,direction
2023-03-14T18:36:00,2023-03-14T20:12:00,1.60,88.0,EAST
2023-03-15T02:23:59,2023-03-15T09:47:59,7.40,121.0,EAST
2023-03-22T11:35:59,2023-03-22T16:47:59,5.20,122.0,EAST
2023-03-23T12:36:00,2023-03-23T17:23:59,4.80,127.1,EAST
2023-03-26T15:36:00,2023-03-26T21:00:00,5.40,130.6,EAST
2023-03-27T00:24:00,2023-03-27T11:00:00,10.60,145.7,EAST
2023-03-27T14:12:00,2023-03-28T08:23:59,18.20,185.6,EAST
2023-03-28T17:23:59,2023-03-28T18:36:00,1.20,94.2,EAST
2023-03-28T18:59:59,2023-03-28T21:47:59,2.80,96.1,EAST
2023-03-28T22:35:59,2023-03-28T23:48:00,1.20,91.5,EAST
2023-03-29T04:47:59,2023-03-29T08:12:00,3.40,127.1,EAST
2023-03-29T22:35:59,2023-03-30T12:00:00,13.40,149.0,EAST
2023-03-30T18:47:59,2023-03-31T02:35:59,7.80,137.1,EAST
2023-03-31T05:35:59,2023-03-31T12:36:00,7.00,145.7,EAST
2023-04-02T08:00:00,2023-04-02T13:24:00,5.40,133.9,EAST
2023-04-02T23:48:00,2023-04-03T02:23:59,2.60,87.4,EAST
2023-04-03T08:23:59,2023-04-03T14:35:59,6.20,142.5,EAST
2023-04-11T03:00:00,2023-04-11T06:36:00,3.60,107.4,EAST
2023-04-12T02:00:00,2023-04-12T07:12:00,5.20,127.3,EAST
2023-04-13T05:35:59,2023-04-13T07:12:00,1.60,104.5,EAST
2023-04-15T05:12:00,2023-04-15T08:35:59,3.40,108.9,EAST
2023-04-17T06:47:59,2023-04-17T11:12:00,4.40,134.0,EAST
2023-04-17T21:47:59,2023-04-17T23:00:00,1.20,97.4,EAST
2023-04-18T21:59:59,2023-04-19T00:36:00,2.60,109.9,EAST
2023-04-20T22:12:00,2023-04-21T01:47:59,3.60,145.3,EAST
2023-04-21T12:24:00,2023-04-21T15:36:00,3.20,147.3,EAST
2023-04-21T23:35:59,2023-04-22T02:35:59,3.00,119.4,EAST
2023-04-23T00:11:59,2023-04-23T03:24:00,3.20,141.4,EAST
2023-04-24T00:59:59,2023-04-24T04:24:00,3.40,155.9,EAST
2023-04-24T15:47:59,2023-04-24T18:11:59,2.40,111.4,EAST
2023-04-25T00:00:00,2023-04-25T05:00:00,5.00,130.9,EAST
2023-04-26T01:35:59,2023-04-26T06:11:59,4.60,158.7,EAST
2023-04-26T17:00:00,2023-04-26T18:00:00,1.00,89.9,EAST
2023-04-27T04:12:00,2023-04-27T06:11:59,2.00,109.3,EAST
2023-04-28T05:12:00,2023-04-28T06:24:00,1.20,110.2,EAST
2023-05-02T18:36:00,2023-05-03T00:24:00,5.80,129.7,EAST
2023-05-03T09:00:00,2023-05-03T12:11:59,3.20,110.0,EAST
2023-05-03T21:00:00,2023-05-03T22:47:59,1.80,104.9,EAST
2023-05-04T12:11:59,2023-05-04T13:24:00,1.20,-90.7,WEST
2023-05-11T06:47:59,2023-05-11T10:24:00,3.60,-95.3,WEST
2023-05-12T07:12:00,2023-05-12T09:47:59,2.60,-93.8,WEST
2023-05-13T21:47:59,2023-05-14T01:35:59,3.80,-91.1,WEST
2023-05-14T18:59:59,2023-05-15T03:36:00,8.60,-111.9,WEST
2023-05-16T21:36:00,2023-05-17T05:35:59,8.00,-143.9,WEST
2023-05-17T19:47:59,2023-05-17T20:48:00,1.00,-83.0,WEST
2023-05-17T21:24:00,2023-05-18T06:24:00,9.00,-158.0,WEST
2023-05-19T01:35:59,2023-05-19T06:59:59,5.40,-152.4,WEST
2023-05-20T02:48:00,2023-05-20T08:48:00,6.00,-139.1,WEST
